ID,name,gwp,declared_unit,category
ec35nnwt,Colorline Acoustic Products,3.07 kgCO2e,1 m2,Acoustical_Ceilings
ec3fegd4,"S-P-06470 Aluminum wound, Mineral oil filled Transformer – 8178 E",16382.20406 kgCO2e,,Aluminium
ec3rgxrh,S-P-06491 PRIMARY ALUMINIUM,24600 kgCO2e,1.0 t,Aluminium_Billets
ec3cp4w3,"S-P-09819 Construction Product (Roofing Underlayment, Building Wrap & Flashing Tape)",3.51 kgCO2e,1.0 kg,Aluminium_Sheet_Goods
ec3e7wfx,S-P-06476 Clay Products,47.9 kgCO2e,1.0 t,Brick
ec3b98c5,Carpet Tile,22.728 kgCO2e,1 m2,Carpet
ec3pk6u4,Wall to wall carpet,8.51 kgCO2e,1 m2,Carpet
ec3j0emy,Walltec facade panel for external walls,18.0891 kgCO2e,1.0 item,Clothing
ec382f2n,Steel-Hot Rolled Coil,2550 kgCO2e,1 t,Coil_Steel
ec3heahz,Sikafill®-400,2.37 kgCO2e,1 m2,Dampproofing_And_Waterproofing
ec3h0dqj,Sika® CoolRoof CET/ Sikalastic®-560 1 mm,2.37 kgCO2e,1 m2,Dampproofing_And_Waterproofing
ec3mq8h4,Sika® CoolRoof PUD,5.55 kgCO2e,1 m2,Dampproofing_And_Waterproofing
ec391mjh,Sika® CoolRoof i-Cure/ SikaRoof® i-Cure,8.83 kgCO2e,1 m2,Dampproofing_And_Waterproofing
ec3rzu1n,S-P-08345 OTIS GEN3 MACHINE ROOM LESS ELEVATOR,23.3 kgCO2e,1 tkm,Elevators
ec3698gf,Schindler 5000 X - Rope,1.24 kgCO2e,1 tkm,Elevators
ec38z5d3,10 mm PARSOL,38.9 kgCO2e,25 kg,Flat_Glass_Panes
ec3ww9sr,10 mm PLANILUX,32.4 kgCO2e,25 kg,Flat_Glass_Panes
ec34cn41,12 mm PARSOL,46.6 kgCO2e,30 kg,Flat_Glass_Panes
ec3ffyaa,12 mm PLANILUX,38.9 kgCO2e,30 kg,Flat_Glass_Panes
ec39ruke,12 mm thickness Float Glass,38.7 kgCO2e,30 kg,Flat_Glass_Panes
ec3fqbef,2 mm PLANILUX,6.48 kgCO2e,5 kg,Flat_Glass_Panes
ec3ed6u4,3 mm PARSOL,11.7 kgCO2e,7.5 kg,Flat_Glass_Panes
ec3ns8hn,3 mm PLANILUX,9.72 kgCO2e,7.5 kg,Flat_Glass_Panes
ec321k9m,3 mm REFLECTASOL on PLANILUX,9.72 kgCO2e,7.5 kg,Flat_Glass_Panes
ec3gjcry,3.5 mm PARSOL,13.6 kgCO2e,8.75 kg,Flat_Glass_Panes
ec3bmejc,3.5 mm PLANILUX,11.3 kgCO2e,8.75 kg,Flat_Glass_Panes
ec3butdh,3.5 mm REFLECTASOL on PARSOL,13.6 kgCO2e,8.75 kg,Flat_Glass_Panes
ec3u36g8,3.5 mm thickness Float Glass,11.3 kgCO2e,8.75 kg,Flat_Glass_Panes
ec3j7ycw,4 mm PARSOL,15.5 kgCO2e,10 kg,Flat_Glass_Panes
ec3pdqxw,4 mm PLANILUX,13 kgCO2e,10 kg,Flat_Glass_Panes
ec30khkj,4 mm thickness Float Glass,12.9 kgCO2e,10 kg,Flat_Glass_Panes
ec3sfmpb,5 mm PARSOL,19.4 kgCO2e,12.5 kg,Flat_Glass_Panes
ec3816xc,5 mm PLANILUX,16.2 kgCO2e,12.5 kg,Flat_Glass_Panes
ec3a74eh,5 mm REFLECTASOL on PARSOL,19.4 kgCO2e,12.5 kg,Flat_Glass_Panes
ec354unr,5 mm thickness Float Glass,16.1 kgCO2e,12.5 kg,Flat_Glass_Panes
ec3qfmfa,6 mm PARSOL,23.3 kgCO2e,15 kg,Flat_Glass_Panes
ec3gkzyu,6 mm PLANILUX,19.4 kgCO2e,15 kg,Flat_Glass_Panes
ec392ntc,6 mm REFLECTASOL on PARSOL,23.3 kgCO2e,15 kg,Flat_Glass_Panes
ec336f0w,6 mm thickness Float Glass,19.3 kgCO2e,15 kg,Flat_Glass_Panes
ec3burec,8 mm PARSOL,31.1 kgCO2e,20 kg,Flat_Glass_Panes
ec35nqk0,8 mm PLANILUX,25.9 kgCO2e,20 kg,Flat_Glass_Panes
ec3y0wfj,8 mm thickness Float Glass,25.8 kgCO2e,20 kg,Flat_Glass_Panes
ec3jfy87,S-P-09223 SGG PARSOL® 6 mm,20.5 kgCO2e,1.0 m2,Flat_Glass_Panes
ec3rdguw,S-P-09810 Magnetron coated glass On SGG PARSOL 4 mm,15.8 kgCO2e,1.0 m2,Flat_Glass_Panes
ec3rmp3d,S-P-09811 Magnetron coated glass on SGG PARSOL 6 mm,22.7 kgCO2e,1.0 m2,Flat_Glass_Panes
ec374t2y,S-P-09221 Compacts (Thick High Pressure Laminates-2.0mm and above),10.1 kgCO2e,1.0 m^2,Food_Beverage
ec3k5q1n,Portland Slag Cement,325.14 kgCO2e,1000 kg,Grouting
ec370jnd,12.5 mm Gypboard® Plain,3.17 kgCO2e,1 m2,Gypsum_Board
ec30eed7,15 mm Gypboard® Plain,3.99 kgCO2e,1 m2,Gypsum_Board
ec3gjtqk,Gypboard Plain Plasterboard,,1 m2,Gypsum_Board
ec35ysj3,Berger ETICS with EPS board (100 mm),14.3 kgCO2e,1 m2,Insulated_Wall_Panels
ec36fe4k,Berger ETICS with EPS board (120 mm),15.8 kgCO2e,1 m2,Insulated_Wall_Panels
ec3385rj,Berger ETICS with EPS board (75 mm),12.4 kgCO2e,1 m2,Insulated_Wall_Panels
ec38yh2q,Berger ETICS with EPS board 50 mm,10.5 kgCO2e,1 m2,Insulated_Wall_Panels
ec35s3tm,Berger ETICS with Mineral-woolboard (100mm),26.1 kgCO2e,1 m2,Insulated_Wall_Panels
ec3j7ukt,Berger ETICS with Mineral-woolboard (120mm),29.9 kgCO2e,1 m2,Insulated_Wall_Panels
ec3f8nur,Berger ETICS with Mineral-woolboard (50mm),16.5 kgCO2e,1 m2,Insulated_Wall_Panels
ec3y9md1,Berger ETICS with Mineral-woolboard (75mm),21.3 kgCO2e,1 m2,Insulated_Wall_Panels
ec3npess,Berger ETICS with XPS board (100 mm),19.7 kgCO2e,1 m2,Insulated_Wall_Panels
ec3zcar5,Berger ETICS with XPS board (120 mm),22.2 kgCO2e,1 m2,Insulated_Wall_Panels
ec3k1722,Berger ETICS with XPS board (50 mm),13.2 kgCO2e,1 m2,Insulated_Wall_Panels
ec385hfp,Berger ETICS with XPS board (75 mm),16.4 kgCO2e,1 m2,Insulated_Wall_Panels
ec3rpdms,Armaflex Endura®,4.6 kgCO2e,1 m2,Mechanical_Insulation
ec31wth4,Armaflex® AMP,4.6 kgCO2e,1 m2,Mechanical_Insulation
ec3awe4x,Armaflex® C1G,5.69 kgCO2e,1 m2,Mechanical_Insulation
ec3mgfeb,Armaflex® Class 0 Plus,4.6 kgCO2e,1 m2,Mechanical_Insulation
ec3u1d74,Armaflex® DS,5.91 kgCO2e,1 m2,Mechanical_Insulation
ec3qebyh,Armaflex® FRV,5.53 kgCO2e,1 m2,Mechanical_Insulation
ec39hsst,Armaflex®Class 0,5.64 kgCO2e,1 m2,Mechanical_Insulation
ec3df2z3,Armaflex®Class 1,5.69 kgCO2e,1 m2,Mechanical_Insulation
ec3ns2ax,#split S-P-12006 Steel door frame,,1.0 t,Metal_Doors_and_Frames
ec3eh97h,Artificial Grass,3.43 kgCO2e,1 m2,Other_Flooring
ec3a5eue,TruFlush Sensor-activated Flushometer (TRF 8156; TRF 8196),27.3 kgCO2e,1 item,Other_Plumbing_Fixtures
ec3e6yyn,Berger Paints (Water-Based),2.0314 kgCO2e,1 m2,Paint_By_Area
ec3je75m,"Acrylic Emulsion Primer (I), Jotun India Private Limited",0.7554342646 kgCO2e,1.0 kg,Paint_By_Mass
ec3rew2s,"Fenomastic Hygiene Emulsion Silk, Jotun India Private Limited",2.455920634 kgCO2e,1.0 kg,Paint_By_Mass
ec37hjfp,"Jotashield ColourLast Matt (I), Jotun India Private Limited",2.738365961 kgCO2e,1.0 kg,Paint_By_Mass
ec3z8ajx,"Jotashield ColourLast Silk (I), Jotun India Private Limited",2.946449893 kgCO2e,1.0 kg,Paint_By_Mass
ec3bdnf5,"Jotashield Tex Ultra AA, Jotun India Private Limited",2.737977674 kgCO2e,1.0 kg,Paint_By_Mass
ec38jfwz,"Jotashield WaterXtreme Basecoat, Jotun India Private Limited",2.38318435 kgCO2e,1.0 kg,Paint_By_Mass
ec36f3tx,"Jotashield WaterXtreme Topcoat, Jotun India Private Limited",2.782866148 kgCO2e,1.0 kg,Paint_By_Mass
ec3h342g,"SteelMaster 600WF, Jotun India Private Limited",3.600884317 kgCO2e,1.0 kg,Paint_By_Mass
ec31cdzw,"Steelmaster 1200WF, Jotun India Private Limited",3.471834481 kgCO2e,1.0 kg,Paint_By_Mass
ec3det67,10 mm REFLECTASOL on PLANILUX,32.4 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3cu9aa,12 mm REFLECTASOL on PLANILUX,38.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3tk6gx,3 mm REFLECTASOL on PARSOL,11.7 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3bbdg1,3.5 mm REFLECTASOL on PLANILUX,11.3 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec36m2xt,4 mm REFLECTASOL on PARSOL,15.6 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec32210h,4 mm REFLECTASOL on PLANILUX,13 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3af5zq,5 mm REFLECTASOL on PLANILUX,16.2 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3qr803,6 mm REFLECTASOL on PLANILUX,19.4 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3uz7gd,8 mm REFLECTASOL on PARSOL,31.1 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec387rjx,8 mm REFLECTASOL on PLANILUX,25.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3kjfby,S-P-06081 ERW Epoxy Coated Steel Pipes,2383 kgCO2e,1.0 t,Processed_Non-insulating_Glass_Panes
ec3sjd5h,SGG PARSOL 3 mm Magnetron Coated Glass,15.2 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3n5kbu,SGG PARSOL 3.5 mm Magnetron Coated Glass,17.1 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3z4bjj,SGG PARSOL 4 mm Magnetron Coated Glass,19.1 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec37q6s3,SGG PARSOL 5 mm Magnetron Coated Glass,23 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3y12rz,SGG PARSOL 6 mm Magnetron Coated Glass,26.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3cr94j,SGG PARSOL 8 mm Magnetron Coated Glass,34.6 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3yeytw,SGG PLANILUX 10 mm Magnetron Coated Glass,35.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3fhwbf,SGG PLANILUX 12 mm Magnetron Coated Glass,42.4 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3nh4ng,SGG PLANILUX 2 mm Magnetron Coated Glass,10 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec33rdzz,SGG PLANILUX 3 mm Magnetron Coated Glass,13.2 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3sea8u,SGG PLANILUX 3.5 mm Magnetron Coated Glass,14.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3mbwex,SGG PLANILUX 4 mm Magnetron Coated Glass,16.5 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3t8jxh,SGG PLANILUX 5 mm Magnetron Coated Glass,19.7 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3a04s4,SGG PLANILUX 6 mm Magnetron Coated Glass,23 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec32c734,SGG PLANILUX 8 mm Magnetron Coated Glass,29.4 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3uhphd,soft coated glazed glass of thickness 6 mm,52.7 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3brgc9,soft coated laminated glass of thickness 6 mm,93.6 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3ht2dz,soft coated printed glass thickness 6 mm,47.2 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec32kuar,thickness 10 mm hard coated reflective glass,32.4 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec35uhuw,thickness 10 mm soft coated reflective glass,49.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3pq4fn,thickness 12 mm hard coated reflective glass,38.8 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3hz5e6,thickness 12 mm soft coated reflective glass,59.8 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3erkkr,thickness 3 mm hard coated reflective glass,9.7 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec37k1d4,thickness 3 mm soft coated reflective glass,15 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec35wf63,thickness 3.5 mm soft coated reflective glass,17.5 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3ztpap,thickness 4 mm hard coated reflective glass,12.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec39q3fj,thickness 4 mm soft coated reflective glass,19.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec31up1j,thickness 5 mm hard coated reflective glass,16.2 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3g406g,thickness 5 mm soft coated reflective glass,24.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3nbdt9,thickness 6 mm hard coated reflective glass,19.4 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec37hrug,thickness 6 mm soft coated reflective glass,29.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec346pe2,thickness 8 mm hard coated reflective glass,25.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3afc5b,thickness 8 mm soft coated reflective glass,39.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3jzxtz,Stone Plastic Composite (SPC) Vinyl Tile,8.88 kgCO2e,1 m2,Resilient_Flooring
ec3p1703,Colorcoat Prisma® pre-finished steel,2830 kgCO2e,1 t,Steel
ec3h31nb,S-P-09804 Average Semi-Finished Steel Product,3140 kgCO2e,1000.0 kg,Steel
ec37emyd,"S-P-09805 Average Reinforcement Steel Bars, Round Bar, Wire Rod & RSC Steel Product",,1.0 t,Steel
ec3ghswh,S-P-09813 Stainless Steel Cast & Rolled Products,,,Steel
ec3axmef,S-P-12001 Average Black/Bare Steel Pipes,,1.0 t,Steel
ec3ef4zc,S-P-12005 Cold Rolled Steel Strips,,1.0 t,Steel
ec3z01km,S-P-12016 TI Macho TMT Bars,668.659 kgCO2e,1.0 t,Steel
ec3nsdxz,Entropy Workstation Model 1,340 kgCO2e,1 piece,Tables
ec3a2zcu,S-P-09219 High Pressure Laminates,,1.0 m^2,Tables
ec3uam64,#name_is_not_extracted,51.9 kgCO2e,1 m2,Unknown
ec3nud1g,S-P-11894 STEELAGE MAGNA CLASS C SAFE,1520 kgCO2e,1.0 item,Unknown
ec34rdn3,S-P-12055 Indowud’s NFC Board,1468.69 kgCO2e,1.0 m^3,Unknown
ec3hmrwn,"Composite Insulators: EP6683-000_CLP-10-CBM20-110-400, EP6684-000_CS-45-CTP-140-450-M",16 kgCO2e,3.33 kg,Unsupported
ec33n7h3,Paralink 300 kN,2.97 kgCO2e,1 m2,Unsupported
ec3ds9j8,PosMAC®,2500 kgCO2e,1 t,Unsupported
ec3fwdpd,"S-P-09209 Aluminum wound, Mineral oil filled Transformer – 8493C",,,Unsupported
ec37jezc,S-P-06076 ERW Offline Annealing Steel Pipes,2538 kgCO2e,1.0 t,Utility_Piping
ec3z6kpz,S-P-06080 ERW Galvanized Steel Pipes,2706 kgCO2e,1.0 t,Utility_Piping
ec3kt883,S-P-06082 ERW Bare Steel Pipes,2430 kgCO2e,1.0 t,Utility_Piping
ec36t92e,1.0-1.28 GPF Commercial Floor-Mounted Toilet CT725CU(F)(G)(X),80.6 kgCO2e,1 item,Water_Closets
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,991e076afa2647f4aecca634d7f1de7d,30
IN,US,ad56c06d77e64ca6881bf08d48f31919,50
IN,US,78962b21a33d47dd9395387d57f76b66,30
IN,US,78962b21a33d47dd9395387d57f76b66,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,78962b21a33d47dd9395387d57f76b66,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,991e076afa2647f4aecca634d7f1de7d,30
Flat Glass Panes (matched: furniture),2 mm PLANILUX,ec3fqbef,30,,,,
Processed Non-insulating Glass Panes (matched: furniture),SGG PLANILUX 2 mm Magnetron Coated Glass,ec3nh4ng,30,,,,
Flat Glass Panes (matched: furniture),S-P-09811 Magnetron coated glass on SGG PARSOL 6 mm,ec3rmp3d,30,,"Chennai, Tamil Nadu, India",13.0826802,80.2707184
Flat Glass Panes (matched: furniture),S-P-09810 Magnetron coated glass On SGG PARSOL 4 mm,ec3rdguw,30,,"Chennai, Tamil Nadu, India",13.0826802,80.2707184
Tables (matched: tables),S-P-09219 High Pressure Laminates,ec3a2zcu,30,160019,"14, 7c, Madhya Marg, Sector 7-C, Sector 7, Chandigarh, 160019, India",30.728231,76.8022244
Fiber-cement Siding (matched: kitchen cabinet),S-P-06083 Vnext- Fiber Cement Boards,ec3rtwuh,50,508207,"Miryalaguda, Telangana 508207, India",16.8738909,79.56616939999999
Utility Piping (matched: furniture),S-P-06076 ERW Offline Annealing Steel Pipes,ec37jezc,30,370140,"78VX+JXV, Ramwadi, Bhachau, Gujarat 370140, India",23.2941125,70.3499219
Utility Piping (matched: furniture),S-P-06080 ERW Galvanized Steel Pipes,ec3z6kpz,30,370140,"78VX+JXV, Ramwadi, Bhachau, Gujarat 370140, India",23.2941125,70.3499219
Processed Non-insulating Glass Panes (matched: furniture),S-P-06081 ERW Epoxy Coated Steel Pipes,ec3kjfby,30,370140,"78VX+JXV, Ramwadi, Bhachau, Gujarat 370140, India",23.2941125,70.3499219
Utility Piping (matched: furniture),S-P-06082 ERW Bare Steel Pipes,ec3kt883,30,370140,"78VX+JXV, Ramwadi, Bhachau, Gujarat 370140, India",23.2941125,70.3499219
Processed Non-insulating Glass Panes (matched: furniture),SGG PLANILUX 3 mm Magnetron Coated Glass,ec33rdzz,30,,,,
Processed Non-insulating Glass Panes (matched: furniture),SGG PLANILUX 3.5 mm Magnetron Coated Glass,ec3sea8u,30,,,,
Processed Non-insulating Glass Panes (matched: furniture),SGG PLANILUX 4 mm Magnetron Coated Glass,ec3mbwex,30,,,,
Processed Non-insulating Glass Panes (matched: furniture),SGG PLANILUX 5 mm Magnetron Coated Glass,ec3t8jxh,30,,,,
Processed Non-insulating Glass Panes (matched: furniture),SGG PLANILUX 6 mm Magnetron Coated Glass,ec3a04s4,30,,,,
Processed Non-insulating Glass Panes (matched: furniture),SGG PLANILUX 8 mm Magnetron Coated Glass,ec32c734,30,,,,
Processed Non-insulating Glass Panes (matched: furniture),SGG PLANILUX 10 mm Magnetron Coated Glass,ec3yeytw,30,,,,
Processed Non-insulating Glass Panes (matched: furniture),SGG PLANILUX 12 mm Magnetron Coated Glass,ec3fhwbf,30,,,,
Processed Non-insulating Glass Panes (matched: furniture),SGG PARSOL 3 mm Magnetron Coated Glass,ec3sjd5h,30,,,,
Processed Non-insulating Glass Panes (matched: furniture),SGG PARSOL 3.5 mm Magnetron Coated Glass,ec3n5kbu,30,,,,
Processed Non-insulating Glass Panes (matched: furniture),SGG PARSOL 4 mm Magnetron Coated Glass,ec3z4bjj,30,,,,
Processed Non-insulating Glass Panes (matched: furniture),SGG PARSOL 5 mm Magnetron Coated Glass,ec37q6s3,30,,,,
Processed Non-insulating Glass Panes (matched: furniture),SGG PARSOL 6 mm Magnetron Coated Glass,ec3y12rz,30,,,,
Processed Non-insulating Glass Panes (matched: furniture),SGG PARSOL 8 mm Magnetron Coated Glass,ec3cr94j,30,,,,
Flat Glass Panes (matched: furniture),3 mm PLANILUX,ec3ns8hn,30,,,,
Flat Glass Panes (matched: furniture),3.5 mm PLANILUX,ec3bmejc,30,,,,
Flat Glass Panes (matched: furniture),4 mm PLANILUX,ec3pdqxw,30,,,,
Flat Glass Panes (matched: furniture),5 mm PLANILUX,ec3816xc,30,,,,
Flat Glass Panes (matched: furniture),6 mm PLANILUX,ec3gkzyu,30,,,,
Flat Glass Panes (matched: furniture),8 mm PLANILUX,ec35nqk0,30,,,,
Flat Glass Panes (matched: furniture),10 mm PLANILUX,ec3ww9sr,30,,,,
Flat Glass Panes (matched: furniture),12 mm PLANILUX,ec3ffyaa,30,,,,
Tables (matched: tables),Entropy Workstation Model 1,ec3nsdxz,30,,India,22.351993560791016,79.36287689208984
